Interval Start Date/Time,Net Consumption (kWh)
,
2021-02-09 0:00,27.28
2021-02-10 0:00,43.36
2021-02-11 0:00,50.61
2021-02-12 0:00,48.51
2021-02-13 0:00,37.64
2021-02-14 0:00,24.75
2021-02-15 0:00,22.45
2021-02-16 0:00,20.41
2021-02-17 0:00,19.39
2021-02-18 0:00,24.12
2021-02-19 0:00,20.42
2021-02-20 0:00,15.86
2021-02-21 0:00,14.71
2021-02-22 0:00,11.49
2021-02-23 0:00,13.26
2021-02-24 0:00,16.31
2021-02-25 0:00,13.13
2021-02-26 0:00,16.77
2021-02-27 0:00,12.4
2021-02-28 0:00,16.51
2021-03-01 0:00,10.92
2021-03-02 0:00,10.7
2021-03-03 0:00,12.4
2021-03-04 0:00,12.25
2021-03-05 0:00,8.93
2021-03-06 0:00,12.19
2021-03-07 0:00,11.3
2021-03-08 0:00,14.25
2021-03-09 0:00,17.86
2021-03-10 0:00,12.56
2021-03-11 0:00,16.2
2021-03-12 0:00,13.84
2021-03-13 0:00,12.2
2021-03-14 0:00,13.27
2021-03-15 0:00,12.58
2021-03-16 0:00,14.57
2021-03-17 0:00,12.99
2021-03-18 0:00,11.79
2021-03-19 0:00,16.67
2021-03-20 0:00,10.43
2021-03-21 0:00,12.09
2021-03-22 0:00,14.52
2021-03-23 0:00,10.9
2021-03-24 0:00,9.99
2021-03-25 0:00,11.36
2021-03-26 0:00,14.02
2021-03-27 0:00,9.02
2021-03-28 0:00,10.46
2021-03-29 0:00,10.05
2021-03-30 0:00,14.36
2021-03-31 0:00,11.75
2021-04-01 0:00,10.3
2021-04-02 0:00,12.45
2021-04-03 0:00,11.81
2021-04-04 0:00,13.88
2021-04-05 0:00,11.87
2021-04-06 0:00,10.77
2021-04-07 0:00,10.59
2021-04-08 0:00,11.65
2021-04-09 0:00,14.5
2021-04-10 0:00,10.72
2021-04-11 0:00,11.2
2021-04-12 0:00,11.59
2021-04-13 0:00,14.73
2021-04-14 0:00,8.56
2021-04-15 0:00,9.11
2021-04-16 0:00,7.51
2021-04-17 0:00,8.35
2021-04-18 0:00,8.1
2021-04-19 0:00,11.93
2021-04-20 0:00,10.6
2021-04-21 0:00,11.19
2021-04-22 0:00,9.31
2021-04-23 0:00,9.02
2021-04-24 0:00,9.51
2021-04-25 0:00,7.85
2021-04-26 0:00,8.97
2021-04-27 0:00,8.45
2021-04-28 0:00,9.52
2021-04-29 0:00,8.59
2021-04-30 0:00,11.73
2021-05-01 0:00,9.14
2021-05-02 0:00,8.7
2021-05-03 0:00,9.6
2021-05-04 0:00,8.75
2021-05-05 0:00,8.53
2021-05-06 0:00,8.2
2021-05-07 0:00,10.74
2021-05-08 0:00,8.86
2021-05-09 0:00,7.5
2021-05-10 0:00,8.52
2021-05-11 0:00,8.05
2021-05-12 0:00,9.26
2021-05-13 0:00,9.73
2021-05-14 0:00,8.6
2021-05-15 0:00,11.49
2021-05-16 0:00,9.68
2021-05-17 0:00,7.89
2021-05-18 0:00,8.8
2021-05-19 0:00,8.87
2021-05-20 0:00,10.45
2021-05-21 0:00,11.63
2021-05-22 0:00,9.58
2021-05-23 0:00,10.59
2021-05-24 0:00,13.25
2021-05-25 0:00,10.92
2021-05-26 0:00,8.58
2021-05-27 0:00,8.64
2021-05-28 0:00,8.28
2021-05-29 0:00,9.88
2021-05-30 0:00,12.79
2021-05-31 0:00,10.98
2021-06-01 0:00,16.45
2021-06-02 0:00,18.12
2021-06-03 0:00,14.92
2021-06-04 0:00,11.37
2021-06-05 0:00,8.44
2021-06-06 0:00,9.6
2021-06-07 0:00,9.92
2021-06-08 0:00,8.41
2021-06-09 0:00,8.52
2021-06-10 0:00,8.99
2021-06-11 0:00,8.96
2021-06-12 0:00,6.18
2021-06-13 0:00,8.22
2021-06-14 0:00,12.01
2021-06-15 0:00,13.34
2021-06-16 0:00,14.46
2021-06-17 0:00,12.92
2021-06-18 0:00,12.4
2021-06-19 0:00,10.26
2021-06-20 0:00,12.54
2021-06-21 0:00,18.41
2021-06-22 0:00,20.49
2021-06-23 0:00,15.46
2021-06-24 0:00,13.79
2021-06-25 0:00,20.24
2021-06-26 0:00,24.19
2021-06-27 0:00,28.5
2021-06-28 0:00,27.94
2021-06-29 0:00,31.34
2021-06-30 0:00,31.22
2021-07-01 0:00,28.51
2021-07-02 0:00,18.51
2021-07-03 0:00,18.07
2021-07-04 0:00,18.52
2021-07-05 0:00,17.69
2021-07-06 0:00,15.81
2021-07-07 0:00,13.78
2021-07-08 0:00,15.94
2021-07-09 0:00,16.32
2021-07-10 0:00,18.78
2021-07-11 0:00,18.53
2021-07-12 0:00,16.36
2021-07-13 0:00,18.7
2021-07-14 0:00,16.5
2021-07-15 0:00,16.49
2021-07-16 0:00,13.49
2021-07-17 0:00,15.63
2021-07-18 0:00,19.76
2021-07-19 0:00,17.45
2021-07-20 0:00,16.54
2021-07-21 0:00,13.04
