"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean.Temp","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-09","2021","02","09","","-9.2","","-18.2","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","2","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-10","2021","02","10","","-10.9","","-19.2","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","2","","26","","63",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-11","2021","02","11","","-12.4","","-20.4","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","1","","32","","37",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-12","2021","02","12","","-11.8","","-19.8","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","1","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-13","2021","02","13","","-9.0","","-14.9","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","1","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-14","2021","02","14","","-0.8","","-14.6","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","1","E","11","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-15","2021","02","15","","-0.8","","-6.3","","-3.6","","21.6","","0.0","","0.0","","0.6","","0.6","","2","E","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-16","2021","02","16","","0.6","","-6.7","","-3.1","","21.1","","0.0","","0.0","","1.5","","1.2","","1","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-17","2021","02","17","","4.0","","-5.1","","-0.6","","18.6","","0.0","","0.0","","0.0","T","0.0","T","3","","28","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-18","2021","02","18","","-1.0","","-7.1","","-4.1","","22.1","","0.0","","0.0","","0.2","","0.2","","2","","10","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-19","2021","02","19","","2.2","","-7.1","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","T","9","","32",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-20","2021","02","20","","4.2","","-6.8","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-21","2021","02","21","","13.2","","2.6","","7.9","","10.1","","0.0","","0.0","","0.0","","0.0","","0","T","20","","55",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-22","2021","02","22","","13.2","","0.3","","6.8","","11.2","","0.0","","0.0","T","0.0","","0.0","T","","","22","","58",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-23","2021","02","23","","6.3","","-3.0","","1.7","","16.3","","0.0","","0.0","T","0.0","","0.0","T","","","34","","45",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-24","2021","02","24","","7.2","","-2.7","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","","30","","42",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-25","2021","02","25","","7.0","","2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","24","","52",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-26","2021","02","26","","6.9","","-1.1","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","","","26","","42",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-27","2021","02","27","","7.5","","-0.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","","","27","","46",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-02-28","2021","02","28","","4.4","","0.0","","2.2","","15.8","","0.0","","0.0","","0.9","","0.9","","1","E","10","","50",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-03-01","2021","03","01","","16.2","","1.8","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","","","22","","55",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-03-02","2021","03","02","","9.1","","-1.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","","","18","","41",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-03-03","2021","03","03","","6.4","","0.4","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-120.45","50.70","KAMLOOPS A","1163781","2021-03-04","2021","03","04","","14.3","","-1.6","","6.4","","11.6","","0.0","","0.0","","0.0","","0.0","","","","11","","33",""
"-120.45","50.70","KAMLOOPS A","1163781","2021-03-05","2021","03","05","","16.3","","4.3","","10.3","","7.7","","0.0","","0.0","T","0.0","","0.0","T","","","10","","63",""
