"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-09","2021","02","09","†","-12.0","","-22.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-10","2021","02","10","†","-15.0","","-22.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-11","2021","02","11","†","-17.0","","-23.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-12","2021","02","12","†","-15.0","","-23.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-13","2021","02","13","†","-8.0","","-18.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-14","2021","02","14","†","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-15","2021","02","15","†","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","1.6","","1.6","","5","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-16","2021","02","16","†","-1.0","","-7.5","","-4.3","","22.3","","0.0","","0.0","","1.2","","1.2","","7","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-17","2021","02","17","†","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2021-02-18","2021","02","18","†","-3.0","","-9.5","","-6.3","","24.3","","0.0","","0.0","","1.0","","1.0","","7","","","","",""
